model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,hour
lgbm_direct,2109,134.01630047289976,174.8850791036048,0.44126506357957984,2.527333957100393,0.2165967187334411,11
lgbm_residual,2109,133.2215234194918,175.10775785958862,0.43984129876990574,-1.265150499895976,0.21559922215454352,11
blend_70persistence_30_lgbm_residual,2109,140.7214552603455,197.87308727778154,0.28472380481734705,-19.726610014833696,0.1136212040369371,11
blend_50persistence_50_lgbm_residual,2109,134.8207367776378,185.41933453407333,0.3719266758770693,-14.451907296280035,0.1694081860568475,11
blend_30persistence_70_lgbm_residual,2109,132.03565095753848,177.4396701391974,0.42482267727817,-9.177204577726453,0.20515334683553443,11
persistence,2098,168.69059766444232,238.51364583046924,-0.017671475467309294,52.08016391801716,0.0,12
lgbm_direct,2098,147.6408027956592,190.30717649035844,0.3521246273841424,8.054016105966646,0.20211199729165596,12
lgbm_residual,2098,145.07479972943486,194.141448958417,0.32575509529857793,-27.70263071980643,0.18603630294423967,12
blend_70persistence_30_lgbm_residual,2098,147.6880544358133,212.19355203313228,0.19453716666533305,28.14532552667004,0.11035047368335804,12
blend_50persistence_50_lgbm_residual,2098,140.71751163042939,200.05998862133754,0.2840187990857248,12.188766599105366,0.16122204276925856,12
blend_30persistence_70_lgbm_residual,2098,139.26142066614577,193.2536175779643,0.33190779497168765,-3.7677923284593935,0.1897586534091843,12
persistence,2088,205.7090847222222,279.59519005653823,-0.4404394572794157,139.6479813697318,0.0,13
lgbm_direct,2088,145.12770918001235,180.39860831914407,0.4003442764146735,-8.850424190565482,0.3547864386269848,13
lgbm_residual,2088,141.3071680281688,183.7399837558999,0.3779246897288875,-33.65911211970268,0.34283567711324003,13
blend_70persistence_30_lgbm_residual,2088,163.85044233355694,230.1293315966069,0.024157857104120883,87.65585332290142,0.17691956163454958,13
blend_50persistence_50_lgbm_residual,2088,146.14148588705595,204.48012877028043,0.22956174751169478,52.99443462501457,0.26865648608285586,13
blend_30persistence_70_lgbm_residual,2088,137.53124728174393,187.60136937732548,0.3515035159074422,18.333015927127637,0.3290250474645513,13
persistence,2085,221.60314527577938,281.1941204862063,-1.1234160402173239,185.11535534772182,0.0,14
lgbm_direct,2085,120.51328946819537,149.59909500891902,0.3989915822460043,-12.376758035000368,0.46798640472905106,14
lgbm_residual,2085,112.65238023211022,149.9587299973918,0.39609847037044066,-39.9324726587623,0.46670744844130596,14
blend_70persistence_30_lgbm_residual,2085,165.24667647750778,218.11189977545578,-0.2775601103528216,117.60100694577655,0.22433691217183527,14
blend_50persistence_50_lgbm_residual,2085,135.45716825901894,183.00298578447342,0.10062880637200222,72.59144134447975,0.3491934131906914,14
blend_30persistence_70_lgbm_residual,2085,116.21696109891745,157.92338568504118,0.3302456938822842,27.581875743182916,0.43838304509361903,14
persistence,2114,196.16694592293481,239.18209472848957,-2.7116360013128644,187.701634759264,0.0,15
lgbm_direct,2114,66.87818431105514,85.6840014410799,0.5236704461938628,9.066239747506964,0.6417624758310394,15
lgbm_residual,2114,69.34182159771846,91.79261365140032,0.4533321666435922,-12.587339892216113,0.6162228876053628,15
blend_70persistence_30_lgbm_residual,2114,140.69614076675947,177.94995611416047,-1.0544889931203958,127.61494236381994,0.25600636487374817,15
blend_50persistence_50_lgbm_residual,2114,108.14793793050994,140.8267768636179,-0.2867036342328131,87.55714743352395,0.41121522067327354,15
blend_30persistence_70_lgbm_residual,2114,82.84994493748421,110.24205492429138,0.2114982740621869,47.49935250322792,0.5390873424307367,15
persistence,2097,140.55992746781115,168.48018795364757,-8.195157051599171,139.219389747258,0.0,16
lgbm_direct,2097,23.31747804487162,33.418851430142205,0.6382200338397794,2.0010549802461393,0.80164521516716,16
lgbm_residual,2097,34.79540904755514,47.8591335627212,0.25802181197862284,-6.604196547585252,0.7159361338326127,16
blend_70persistence_30_lgbm_residual,2097,97.91182946527884,120.70875341094718,-3.7199674581787336,95.47231385880501,0.28354333600246995,16
blend_50persistence_50_lgbm_residual,2097,70.57928106066763,90.61629008823799,-1.6599534122542052,66.30759659983637,0.4621546237046671,16
blend_30persistence_70_lgbm_residual,2097,47.39162760068378,64.2850863188037,-0.3386959127476168,37.142879340867715,0.6184412713470507,16
persistence,2072,62.00503769305019,81.28628934958398,-141.25157460928622,62.00503383204633,0.0,17
lgbm_direct,2072,6.031549698639372,9.036794947956997,-0.7581314408508615,5.176653674404237,0.8888275621846522,17
lgbm_residual,2072,9.361124950621289,15.492633598829055,-4.167410752505221,8.044805072124532,0.8094065589314744,17
blend_70persistence_30_lgbm_residual,2072,45.820762048429465,59.431689358746276,-75.04289378352986,45.81696520406979,0.26885960923678887,17
blend_50persistence_50_lgbm_residual,2072,35.04096488444807,45.129961399736345,-42.848264503845655,35.02491945208543,0.44480229370972857,17
blend_30persistence_70_lgbm_residual,2072,24.293526760596173,31.38709995963032,-20.209228240817463,24.23287370010107,0.6138696917921134,17
persistence,388,11.68995412371134,16.56997466664004,0.0,11.68995412371134,0.0,18
lgbm_direct,388,5.042306532912354,5.86608323485591,0.0,5.042306532912354,0.6459811585188501,18
lgbm_residual,388,2.892007000300033,6.230850287372736,0.0,2.892007000300033,0.6239674222364886,18
blend_70persistence_30_lgbm_residual,388,9.050569986687949,12.437637895462554,0.0,9.050569986687949,0.24938703011399443,18
blend_50persistence_50_lgbm_residual,388,7.290980562005687,9.908853600515586,0.0,7.290980562005687,0.4019994719445854,18
blend_30persistence_70_lgbm_residual,388,5.531391137323424,7.771654287143136,0.0,5.531391137323424,0.5309797121905302,18
