model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
pred_high_residual_cal_full,8528,146.22927795362534,190.0380633801949,0.050944566515662815,30.696149983157785,0.15556344591203797,pred_ghi_bin,600-900
pred_blend_raw_highcal_50,8528,142.57834977083817,180.45711051111155,0.14422738227458554,13.562273175892965,0.1981365319651296,pred_ghi_bin,600-900
pred_blend_iso_highcal_50,8528,142.84895608089488,180.45916301416221,0.1442079152013006,12.073494722814441,0.19812741164169267,pred_ghi_bin,600-900
persistence,242,152.39757378984655,224.21249138430255,-0.3906483712077413,-45.695909090909105,0.0,pred_ghi_bin,900+
pred_raw,242,124.19220536177177,192.56068909739076,-0.025729829250206615,28.433752383109173,0.14116877294164787,pred_ghi_bin,900+
pred_isotonic,242,124.21431094675052,192.5066844044628,-0.025154566906583797,28.68167654127973,0.14140963683194474,pred_ghi_bin,900+
pred_bin_bias,242,121.34613671001463,197.87455262587858,-0.08312259191254379,53.69541754948519,0.11746865036738952,pred_ghi_bin,900+
pred_high_residual_cal,242,119.38365092229049,199.88311064958847,-0.10522301869254469,62.55667700486606,0.1085103714984963,pred_ghi_bin,900+
pred_high_residual_cal_full,242,120.39386551113971,204.46133521753814,-0.15643201880906688,73.93098521211836,0.088091239006442,pred_ghi_bin,900+
pred_blend_raw_highcal_50,242,120.30302077817008,194.97168303964298,-0.0515763344262703,45.495214693987606,0.13041560781972905,pred_ghi_bin,900+
pred_blend_iso_highcal_50,242,120.34114578996795,194.99933332263453,-0.05187461820309669,45.619176773072894,0.13029228604215615,pred_ghi_bin,900+
persistence,48,95.98715,105.39268182960451,-4.741059236798452,-95.98715,0.0,hour,5
pred_raw,48,33.602547329383924,44.098125396551545,-0.005104859343581625,-8.333158468203651,0.5815826618033312,hour,5
pred_isotonic,48,34.78229752120969,46.198886779399466,-0.10314890469270788,-15.668401345793361,0.5616499554106391,hour,5
pred_bin_bias,48,34.71466213527241,46.440886432211585,-0.11473623381331222,-17.283520650092466,0.5593537840957903,hour,5
pred_high_residual_cal,48,33.602547329383924,44.098125396551545,-0.005104859343581625,-8.333158468203651,0.5815826618033312,hour,5
pred_high_residual_cal_full,48,33.602547329383924,44.098125396551545,-0.005104859343581625,-8.333158468203651,0.5815826618033312,hour,5
pred_blend_raw_highcal_50,48,33.602547329383924,44.098125396551545,-0.005104859343581625,-8.333158468203651,0.5815826618033312,hour,5
pred_blend_iso_highcal_50,48,34.07105103620805,44.997557112384136,-0.046523512566736924,-12.000779906998504,0.5730485615202892,hour,5
persistence,1736,135.48322701612904,153.00771861277678,-1.9467289912202639,-135.1594758640553,0.0,hour,6
pred_raw,1736,55.62754609220088,69.82033634378908,0.3864112482020614,26.499466922010896,0.5436809529819446,hour,6
pred_isotonic,1736,54.68757576049798,69.05908878178509,0.3997181619312433,22.785827783769584,0.5486561762511086,hour,6
pred_bin_bias,1736,52.814607608089545,66.91360186089206,0.4364371817243282,17.967147908434274,0.5626782591913995,hour,6
pred_high_residual_cal,1736,55.62754609220088,69.82033634378908,0.3864112482020614,26.499466922010896,0.5436809529819446,hour,6
pred_high_residual_cal_full,1736,55.62754609220088,69.82033634378908,0.3864112482020614,26.499466922010896,0.5436809529819446,hour,6
pred_blend_raw_highcal_50,1736,55.62754609220088,69.82033634378908,0.3864112482020614,26.499466922010896,0.5436809529819446,hour,6
