model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,experiment,split,n_train,n_valid,n_test
midday_08_15_test_lgbm_residual,16622,124.20153242071007,159.78149357260105,0.6534244058829315,-4.996186359853497,0.3468341749608046,midday_08_15,test,42743,16851,16622
midday_08_15_test_blend_30persistence_70residual,16622,126.39117507873294,165.44246390215258,0.6284314033986178,-0.17382706307019513,0.3236928694619682,midday_08_15,test,42743,16851,16622
midday_08_15_test_blend_50persistence_50residual,16622,136.69020152695688,180.62000620319373,0.5571295237506453,3.0410791347853956,0.2616490637779114,midday_08_15,test,42743,16851,16622
midday_08_15_test_blend_70persistence_30residual,16622,153.76041403693642,202.72137434603113,0.44211574170926216,6.255985332640917,0.17130156461054347,midday_08_15,test,42743,16851,16622
clp_high_sun_train_persistence,44888,183.69502205575694,231.76244418687477,0.32677967368725624,5.054063314232309,0.0,clp_high_sun,train,44888,18999,18737
clp_high_sun_train_lgbm_direct,44888,89.71514576700245,123.44799415640558,0.8089974476415513,0.03762958473142671,0.46735117249252445,clp_high_sun,train,44888,18999,18737
clp_high_sun_train_lgbm_residual,44888,90.03335162437587,124.05843620469858,0.8071037875661228,0.048179845641592146,0.46471725977886336,clp_high_sun,train,44888,18999,18737
clp_high_sun_train_blend_30persistence_70residual,44888,104.99794561751787,140.73448533970088,0.7517597763383161,1.5499448862187772,0.3927640613497163,clp_high_sun,train,44888,18999,18737
clp_high_sun_train_blend_50persistence_50residual,44888,123.2498980105343,161.6231517107588,0.6726003293598481,2.5511215799369507,0.30263441828202864,clp_high_sun,train,44888,18999,18737
clp_high_sun_train_blend_70persistence_30residual,44888,145.63347730932594,187.44473676419423,0.5596301307867696,3.5522982736550643,0.1912204006053123,clp_high_sun,train,44888,18999,18737
clp_high_sun_valid_persistence,18999,188.50281331649035,240.55163706798325,0.2742783133419726,9.092814137586188,0.0,clp_high_sun,valid,44888,18999,18737
clp_high_sun_valid_lgbm_direct,18999,102.87756983067025,144.63008468581856,0.7376562340343551,-0.7557555576468924,0.3987565977572455,clp_high_sun,valid,44888,18999,18737
clp_high_sun_valid_lgbm_residual,18999,102.80654027963017,144.6851030069917,0.7374566011716752,-0.6729388454779294,0.3985278804562794,clp_high_sun,valid,44888,18999,18737
clp_high_sun_valid_blend_30persistence_70residual,18999,115.3083793865044,157.3398185103245,0.6895220534781161,2.256787049441276,0.34592081588761714,clp_high_sun,valid,44888,18999,18737
clp_high_sun_valid_blend_50persistence_50residual,18999,131.57702221180182,175.3845135266808,0.6142233366084333,4.209937646054129,0.2709070049807448,clp_high_sun,valid,44888,18999,18737
clp_high_sun_valid_blend_70persistence_30residual,18999,152.17475494269345,198.81736069679386,0.5042507383462352,6.163088242666923,0.17349404427206083,clp_high_sun,valid,44888,18999,18737
clp_high_sun_test_persistence,18737,187.87410068899266,240.0111901289311,0.27344575403783666,5.465940083925533,0.0,clp_high_sun,test,44888,18999,18737
clp_high_sun_test_lgbm_direct,18737,113.76883264129556,150.02814869655813,0.7161096928541879,0.8354018707781469,0.37491185883472833,clp_high_sun,test,44888,18999,18737
clp_high_sun_test_lgbm_residual,18737,113.687811457229,150.23321889374338,0.7153330755347649,-3.693602923106798,0.37405743951754955,clp_high_sun,test,44888,18999,18737
clp_high_sun_test_blend_30persistence_70residual,18737,118.97024981627824,158.16209698828288,0.6844923505969206,-0.9457400209971283,0.3410219877526539,clp_high_sun,test,44888,18999,18737
clp_high_sun_test_blend_50persistence_50residual,18737,131.8854573113769,174.60256868785845,0.615491166585389,0.8861685804093675,0.27252321612978103,clp_high_sun,test,44888,18999,18737
clp_high_sun_test_blend_70persistence_30residual,18737,151.03780376155456,197.55857221316214,0.5077374219981494,2.718077181815804,0.17687766096640722,clp_high_sun,test,44888,18999,18737
very_high_sun_train_persistence,36703,182.7794261475986,235.7217341944016,0.19387918347368205,16.377636481814744,0.0,very_high_sun,train,36703,14398,14289
very_high_sun_train_lgbm_direct,36703,100.77668600810507,135.40333723192367,0.7340134859152718,0.06730708230024737,0.42557975107948487,very_high_sun,train,36703,14398,14289
very_high_sun_train_lgbm_residual,36703,103.24212782871389,139.14114768504328,0.7191256738019187,0.03588933020089987,0.4097228744707415,very_high_sun,train,36703,14398,14289
very_high_sun_train_blend_30persistence_70residual,36703,114.93817867951253,154.25813027898099,0.6547791581647036,4.938413475685018,0.3455922475448824,very_high_sun,train,36703,14398,14289
very_high_sun_train_blend_50persistence_50residual,36703,130.13130195067532,172.66285121592253,0.5674874660916764,8.206762906007823,0.2675140805067805,very_high_sun,train,36703,14398,14289
very_high_sun_train_blend_70persistence_30residual,36703,149.35023092482487,195.6460108312181,0.4446805620334089,11.475112336330557,0.17001284798852168,very_high_sun,train,36703,14398,14289
very_high_sun_valid_persistence,14398,184.57434456174465,239.91847696159334,0.14317210952943293,21.08902521183498,0.0,very_high_sun,valid,36703,14398,14289
very_high_sun_valid_lgbm_direct,14398,114.24178273334658,157.5654303669327,0.6304373410503921,5.923849721258498,0.34325429053071177,very_high_sun,valid,36703,14398,14289
very_high_sun_valid_lgbm_residual,14398,114.13752859493273,157.34694182397797,0.6314615406341897,4.515343068927155,0.3441649687982705,very_high_sun,valid,36703,14398,14289
very_high_sun_valid_blend_30persistence_70residual,14398,122.73781659891952,167.3625710689549,0.5830510532644277,9.487447711799467,0.3024190000349716,very_high_sun,valid,36703,14398,14289
very_high_sun_valid_blend_50persistence_50residual,14398,135.80585673285938,182.52618349985508,0.5040743750361746,12.802184140381067,0.23921581275678794,very_high_sun,valid,36703,14398,14289
very_high_sun_valid_blend_70persistence_30residual,14398,153.01470902444882,202.80866941355316,0.3877352808225252,16.116920568962595,0.1546767386072595,very_high_sun,valid,36703,14398,14289
very_high_sun_test_persistence,14289,186.8716176309449,243.8768996033667,0.11296032664416378,17.152129027323717,0.0,very_high_sun,test,36703,14398,14289
very_high_sun_test_lgbm_direct,14289,128.927556582063,164.50484868245323,0.596392600263641,4.261542362971458,0.3254594881680124,very_high_sun,test,36703,14398,14289
very_high_sun_test_lgbm_residual,14289,129.85505389350888,164.66197850815925,0.5956212060016614,-5.100416117670084,0.324815188416943,very_high_sun,test,36703,14398,14289
very_high_sun_test_blend_30persistence_70residual,14289,129.61349110494749,169.62862140776315,0.5708590295510789,1.57534742582802,0.3044498200377259,very_high_sun,test,36703,14398,14289
very_high_sun_test_blend_50persistence_50residual,14289,138.44219815520825,183.61185592158637,0.4971908703189446,6.025856454826816,0.24711255465275062,very_high_sun,test,36703,14398,14289
very_high_sun_test_blend_70persistence_30residual,14289,154.015437195804,204.25185237414587,0.37779467780807996,10.476365483825541,0.1624797071541655,very_high_sun,test,36703,14398,14289
clp_very_high_sun_train_persistence,32798,181.91499282903496,234.79161341038355,0.19776335520499022,19.670430967762318,0.0,clp_very_high_sun,train,32798,13977,13828
