model,n_rows,mae,rmse,r2,mbe,skill_vs_persistence,segment_col,segment_val
lgbm_residual,5261,89.05348388814765,132.39099357848593,-4.31544103072154,64.33136960249111,0.46238426839372626,target_ghi_bin,100-300
lgbm_residual,2175,103.29319511887931,131.2611597368221,0.498170928260558,-6.209688342846107,0.42836752190876926,hour,8
lgbm_residual,2175,103.29319511887931,131.2611597368221,0.498170928260558,-6.209688342846107,0.42836752190876926,hour,8
lgbm_residual,1875,86.37603922108387,125.06790160710958,0.7840317204052575,4.7778328672665555,0.37679700776236136,month,6
lgbm_residual,1875,86.37603922108387,125.06790160710958,0.7840317204052575,4.7778328672665555,0.37679700776236136,month,6
persistence,394,104.90785152284265,123.31060027045227,-110.39030612164609,104.90785152284265,0.0,hour,17
lgbm_residual,2014,91.54690186774039,123.12573567773008,0.8002805021694428,-11.508613152173035,0.4154032619825302,month,7
lgbm_residual,2014,91.54690186774039,123.12573567773008,0.8002805021694428,-11.508613152173035,0.4154032619825302,month,7
lgbm_residual,2009,89.79950540241424,121.5141858334663,0.8197631211950419,-14.48480232608183,0.4349736167238639,month,5
lgbm_residual,2009,89.79950540241424,121.5141858334663,0.8197631211950419,-14.48480232608183,0.4349736167238639,month,5
persistence,48,95.98715,105.39268182960451,-4.74105923679845,-95.98715,0.0,hour,5
lgbm_residual,2169,78.62987908385368,100.68680024827707,0.49409211190308555,3.5943563732009554,0.5211252976260905,hour,7
lgbm_residual,2169,78.62987908385368,100.68680024827707,0.49409211190308555,3.5943563732009554,0.5211252976260905,hour,7
lgbm_residual,3495,56.25387633117335,90.17008351853165,-7.793892833895864,51.166340735448046,0.5342220824987872,target_ghi_bin,0-100
lgbm_residual,3495,56.25387633117335,90.17008351853165,-7.793892833895864,51.166340735448046,0.5342220824987872,target_ghi_bin,0-100
lgbm_residual,2143,67.52952055151262,88.79984057992993,0.48785999250524026,6.600564401440275,0.6296326487819328,hour,15
lgbm_residual,2143,67.52952055151262,88.79984057992993,0.48785999250524026,6.600564401440275,0.6296326487819328,hour,15
lgbm_residual,6146,62.48543984659453,88.44179537606391,0.8225520850142243,4.012595886995561,0.551999870842415,solar_segment,medium
lgbm_residual,6146,62.48543984659453,88.44179537606391,0.8225520850142243,4.012595886995561,0.551999870842415,solar_segment,medium
lgbm_residual,2369,53.23362002270266,67.55751750076821,0.5700424872935455,12.823308041311082,0.5814377678246585,solar_segment,low
lgbm_residual,2369,53.23362002270266,67.55751750076821,0.5700424872935455,12.823308041311082,0.5814377678246585,solar_segment,low
lgbm_residual,1736,51.60883210495897,64.40217229638883,0.47794705592463227,14.366474755448124,0.5790920034604647,hour,6
lgbm_residual,1736,51.60883210495897,64.40217229638883,0.47794705592463227,14.366474755448124,0.5790920034604647,hour,6
lgbm_residual,2138,31.960231314687668,42.83706376543775,0.40302794267843867,11.25514784734721,0.7454326968413102,hour,16
lgbm_residual,2138,31.960231314687668,42.83706376543775,0.40302794267843867,11.25514784734721,0.7454326968413102,hour,16
lgbm_residual,48,31.71793445161673,40.492685361388205,0.1525301151554017,-3.8704237080844415,0.6157922480153274,hour,5
lgbm_residual,48,31.71793445161673,40.492685361388205,0.1525301151554017,-3.8704237080844415,0.6157922480153274,hour,5
lgbm_residual,394,21.160923805936257,26.339964093489872,-4.082494658667115,16.567229868191763,0.7863933511334835,hour,17
lgbm_residual,394,21.160923805936257,26.339964093489872,-4.082494658667115,16.567229868191763,0.7863933511334835,hour,17
