,count,mean,min,25%,50%,75%,max,std
clp_cot_lag_60m,94977.0,9.221513738502987,0.0099999997764825,2.1560606956481934,4.203055381774902,9.237564086914062,150.0,14.051686291659085
clp_cth_lag_60m,94977.0,8.220235795150709,0.1260000020265579,5.655785083770752,8.513354301452637,10.825678825378418,16.621000289916992,3.256475347136154
ghi_roll_30m_mean,117559.0,422.4356141530761,0.0,129.65683333333334,390.77666666666664,691.9183333333333,1316.0,309.0550683170845
ghi_roll_30m_min,117559.0,373.379482751796,0.0,99.77550000000001,323.84,611.245,1281.5,295.58262815746747
ghi_roll_30m_max,117559.0,471.43925903011655,0.0,157.32,450.32,769.355,1357.7,327.9054078379945
ghi_roll_30m_std,117558.0,51.133293851758424,0.0,15.81805218681926,33.01213059862656,65.08547852337657,580.8311254627573,54.55078418628576
ghi_roll_60m_mean,117559.0,421.4902045807306,0.0,134.33908333333332,396.195,685.0558333333333,1173.765,303.5315929022707
ghi_roll_60m_min,117559.0,325.4953702193294,0.0,70.145,266.6547273635207,532.8100000000001,1098.4,278.7036272755224
ghi_roll_60m_max,117559.0,519.3909655273598,0.0,204.73000000000002,521.71,823.4549999999999,1357.7,332.6535653390527
ghi_roll_60m_std,117559.0,75.24102545421484,0.0,32.23111211163723,61.335165688208626,100.43864497691216,556.2201245359391,60.34461240591077
ghi_roll_180m_mean,117559.0,408.8258031721505,0.0,139.7917888888889,398.4766666666667,657.5141666666667,1049.8249999999998,287.92162479992163
ghi_roll_180m_min,117559.0,200.26173080584073,0.0,1.7459000000000002,116.83999999999999,341.65500000000003,979.07,222.03945998036397
ghi_roll_180m_max,117559.0,642.0292843407318,0.0,363.2900000000001,731.41,925.3,1357.7,337.9719641212255
ghi_roll_180m_std,117559.0,139.2689694064791,0.0,79.88447511745323,141.48471350602637,191.5944356988045,492.48760035357856,79.9197499811385
dhi_roll_180m_mean,117559.0,201.4264440612949,0.0,22.932755555555552,147.63277777777776,330.48800555555556,927.8507722222223,197.87686867264796
dni_roll_180m_mean,117559.0,205.7116583088568,0.0,67.32797222222223,176.41394444444444,303.75226111111107,980.8844444444445,171.4998472390071
aws_temp_roll_180m_mean,117559.0,28.453505727407705,20.383888888888894,26.304166666666667,29.02388888888889,30.37833333333333,37.87111111111111,2.5013252715602685
aws_rh_roll_180m_mean,117559.0,79.13843669537853,38.10656640504656,71.13972222222222,77.4661111111111,87.95750000000001,100.0,10.954217001434683
aws_ws_roll_180m_mean,117559.0,1.6424376836015089,0.0,0.7380555555555557,1.5562613355738242,2.475138888888889,6.459555555555554,1.1474504974819322
aws_rain_sum_180m,117559.0,35.32710858051615,0.0,0.0,0.0,3.400000000000001,2776.5999999999995,145.3986958553142
clp_cot_roll_180m_mean,108348.0,9.198720772134145,0.0199999995529651,2.378525298892283,4.632392466068268,9.93834649581535,150.0,13.146482387544927
clp_cth_roll_180m_mean,108348.0,8.17642828057833,0.1260000020265579,5.864840315447914,8.444788495699566,10.589248250512517,16.503000259399414,3.0390887361647305
ghi_delta_10m,117558.0,0.22643090080105113,-842.6299999999999,-28.54000000000005,2.5099999999999625,31.22949999999985,867.21,92.20621677171259
ghi_delta_60m,117559.0,4.522166981536924,-1124.04,-126.30499999999999,18.922799999999995,144.69695,1003.67,216.12807421553876
aws_temp_delta_60m,117358.0,0.30188003532666163,-10.10652364165944,-0.33000000000000185,0.1700000000000017,0.9200000000000017,10.529999999999998,1.2001227649964241
aws_rh_delta_60m,117358.0,-1.1120304612847014,-52.97677469535714,-4.0,-0.3999999999999915,2.0600000000000023,64.34,6.059098798576679
clp_cot_lag_10m,97603.0,9.864209653805965,0.0099999997764825,2.184574246406555,4.316181659698486,9.7740797996521,150.0,15.17700471653101
clp_cot_lag_20m,97664.0,9.864442971119278,0.0099999997764825,2.1849998831748962,4.316203355789185,9.773647546768188,150.0,15.175548239935335
clp_cot_lag_30m,97730.0,9.867438928634451,0.0099999997764825,2.1863375902175903,4.316203355789185,9.77428388595581,150.0,15.184012581406106
clp_cth_lag_30m,97730.0,8.259719028265721,0.1260000020265579,5.700300455093384,8.557322025299072,10.863291263580322,16.621000289916992,3.2590573419466393
ghi_lag_20m,117559.0,422.0879440728618,0.0,125.8,382.92999999999995,693.675,1357.7,315.35330445980594
ghi_lag_50m,117559.0,419.53590467035457,0.0,123.22,382.44,693.585,1357.7,318.1876232309228
kt_lag_10m,117559.0,0.5583620614737866,0.0,0.32091298917511474,0.5751689633102864,0.8127803210082328,3.0598442794966125,0.2868886907762174
kt_lag_20m,117559.0,0.5536882286016969,0.0,0.3169225083000681,0.5739565265465331,0.8124101240195322,2.229159636695716,0.2886249807235546
kt_lag_30m,117559.0,0.549054249470647,0.0,0.311669482270887,0.5724395774096147,0.8120061159440348,1.9908178945365615,0.2920484944653543
